series,season,episode,episode_code,score,explanation,why_not_lower,why_not_higher,subtitles_load_status,original_input_explanation
Braccialetti Rossi,2,2,Braccialetti RossiS02E02,-2,"The episode contains a scene in which a character (Chicco) is subjected to repeated ethnic stereotyping and microaggressions by other characters, who conflate his Filipino identity with being Chinese and make jokes about Asian names and martial arts. These comments are presented as banter and are not meaningfully challenged or critiqued by the narrative or other characters. The episode does not provide any narrative framing that signals these behaviors are problematic, nor does it offer counter-examples or critical engagement with the issue. The racialized dynamics are normalized as part of everyday interactions, and the affected character's attempts to correct the misidentification are dismissed. The rest of the episode does not address racism or racial identity in other contexts, and the overall tone suggests indifference or acceptance of such bias.","I did not assign a -3 because, while the episode does present racially discriminatory attitudes and microaggressions, it does not go so far as to explicitly endorse or reward these behaviors. The characters making the comments are not overtly portrayed as positive role models, and the narrative does not actively legitimize racial hierarchies or present racism as justified or desirable. The discrimination is normalized, but not explicitly validated.","I did not assign a -1 because the episode does not merely minimize or omit racial issues; it actively includes and normalizes racialized jokes and stereotypes without critique. The problematic content is not reframed as accidental or isolated, nor is there any narrative attempt to downplay structural causes—rather, the episode treats these microaggressions as unremarkable, indicating a deeper normalization of racial inequality.",OK,"There are implicit references to racial prejudice and stereotyping. In one scene, a character named Chicco is assumed to be Chinese, and other characters make jokes about his name and background, conflating 'Filippino' with 'Chinese' and making stereotypical comments about Asian names and martial arts ('Chin-Chan-Pai, Cheung-Ful, Cheung-Cherin...'). The character has to correct them, saying he is Filipino, not Chinese, but the others dismiss the distinction ('Filippino-cinese sempre asiatico sei'). This exchange relies on racial and ethnic stereotypes and demonstrates microaggressions and ignorance about Asian identities, which are forms of racial prejudice."
Braccialetti Rossi,2,5,Braccialetti RossiS02E05,0,"The episode contains a single, brief instance of racial stereotyping: a Filipino boy is described as 'tutto cicciottello' and compared to 'Kung Fu Panda,' invoking physical and cultural stereotypes. However, this is not thematized, discussed, or challenged by the narrative or other characters. The rest of the episode is devoid of explicit or implicit engagement with race or racism; there are no other references to racial identity, discrimination, or dynamics. Thus, the dominant representational stance is one of implicit presence without clear positioning: the theme appears in a minor way, but is neither endorsed, normalized, nor critically addressed.","I did not assign -1 because the episode does not systematically minimize or omit racial issues that would plausibly be relevant; the single instance is not reframed or downplayed, but simply left unaddressed. Nor does the episode present diversity as merely cosmetic or consistently reframe racial tensions as about other factors.","I did not assign +1 because, aside from the isolated stereotype, there is no acknowledgment, recognition, or exploration of racial dynamics, bias, or discrimination. The episode does not show awareness or concern about racial issues, nor does it feature authentic experiences of minoritized groups or hint at structural dimensions.",OK,"There is an implicit reference to race and possible racial stereotyping in the conversation about 'il ragazzo filippino, tutto cicciottello. Con quel faccione sembra Kung Fu Panda.' This description of a Filipino boy using physical stereotypes and comparing him to a cartoon character with Asian features suggests the presence of racial stereotyping and potentially racial prejudice. While the rest of the episode does not contain explicit discussions of racism or racial discrimination, this instance is enough to warrant a 'Yes' answer."
Crimini bianchi,1,7,Crimini bianchiS01E07,-2,"The episode contains explicit and implicit instances of racial prejudice and systemic discrimination, particularly in the way some characters speak about and interact with immigrants and people of color. For example, there are derogatory remarks about Nigerian and Albanian patients, and the undocumented status of immigrant patients is treated as a bureaucratic inconvenience rather than a human rights issue. These attitudes are presented as ordinary and go largely unchallenged within the narrative. While there is some empathy shown towards Manuela and her daughter Alicia, the overall framing normalizes the marginalization and hardships faced by foreign workers, with little critical engagement or narrative challenge to the prejudices expressed. The episode does not endorse racism outright (-3), but it does present racialized dynamics as unremarkable and fails to problematize or critique them, fitting the description of -2: normalization of racial inequality.","I did not assign -3 because, although there are explicit racist statements and prejudices, the episode does not actively endorse or reward discriminatory attitudes. The racist remarks are not celebrated or presented as virtuous, and there is some narrative sympathy for the immigrant characters. The narrative does not frame racial hierarchies as justified or desirable, but rather leaves them unexamined.","I did not assign -1 because the episode does not simply minimize or omit racial issues; instead, it presents racialized dynamics and prejudices as routine and unremarkable, without narrative critique or challenge. The prejudices expressed are not reframed as misunderstandings or isolated incidents, but are shown as part of the everyday environment, with little to no acknowledgment of their problematic nature.",OK,"There are explicit references to racism and racial prejudice in the subtitles. For example, a character refers to 'le nigeriane che dalla mattina alla sera ti rompono i coglioni per un po' di cortisone... per sbiancarsi la pelle' and makes derogatory comments about Albanians. There is also discussion about undocumented immigrants not being registered as patients, and the hardships faced by foreign workers like Manuela and her daughter Alicia. These elements indicate both explicit and implicit racial prejudice and systemic discrimination."
Crimini bianchi,1,9,Crimini bianchiS01E09,+1,"The episode acknowledges the presence of racial dynamics, particularly through the storyline involving Tuia and her Chinese-Italian family. There are explicit references to the Chinese community's reluctance to 'mischiarsi con noi' (mix with us), the challenges Tuia faces as a member of an immigrant community, and the violence she experiences from her own family to 'save face.' The narrative depicts microaggressions, cultural barriers, and the difficulties of living 'da stranieri' (as foreigners) in Italy. However, while these issues are recognized and depicted, the episode does not offer a sustained or deeply analytical critique of racism as a systemic or institutional problem. The structural and cultural challenges are acknowledged, but not explored in depth or with a transformative lens.","I did not assign a 0 because the episode goes beyond mere implicit presence or ambivalence. It directly references racial discrimination, cultural barriers, and the lived experiences of ethnic minorities in Italy. The dialogue includes explicit mentions of discrimination and the challenges faced by immigrants, indicating a clear recognition of racial dynamics.","I did not assign a +2 because, while the episode recognizes and depicts racial issues, it does not critically engage with the broader causes, consequences, or systemic nature of racial inequality. The narrative does not center the voices of marginalized groups in a way that invites sustained reflection or critique of institutional racism. The exploration of race remains largely at the level of individual experience and interpersonal dynamics, rather than offering a deeper or more analytical engagement.",OK,"There are both explicit and implicit references to racism and racial prejudice. Explicitly, there are discussions about the Chinese community not wanting to 'mischiarsi con noi' (mix with us), and the difficulties Tuia faces as a member of the Chinese community in Italy, including her reluctance to seek medical help and the violence she experiences from her own family to 'save face' in the community. There are also comments about living 'da stranieri' (as foreigners) in Italy, and the episode explores the challenges and microaggressions faced by immigrants and ethnic minorities. The mention of 'discriminazioni razziali' (racial discrimination) in a joking context further suggests the presence of the theme."
Cuori,1,12,CuoriS01E12,+1,"The episode contains a brief but explicit reference to prejudice based on origins in the exchange: 'Tu non vali meno di nessuno dei tuoi colleghi, nonostante tutto.' 'Nonostante cosa? Le mie origini, eh?' This indicates that the character perceives their background (potentially ethnic or racial) as a factor in how they are viewed. However, this theme is not developed further: the episode does not explore systemic or structural racism, nor does it offer a sustained critique or deep engagement with racial dynamics. The rest of the episode focuses on professional, personal, and medical storylines without returning to the topic. Thus, the dominant stance is one of recognition that racial or ethnic bias exists, but without critical analysis or transformative framing.","I did not assign a 0 because the episode does not merely present ambiguous or implicit racial dynamics; it includes an explicit acknowledgment of prejudice based on origin. Nor is the theme minimized or omitted (-1), as the character directly names the issue.","I did not assign a +2 because the episode does not critically engage with racism as a social problem, examine its causes or consequences, or invite reflection on structural or institutional dimensions. The reference to prejudice is brief and not thematized in the narrative as a whole, nor are multiple perspectives or deeper analyses presented.",OK,"There is an implicit reference to racial or ethnic prejudice in the following exchange: 'Tu non vali meno di nessuno dei tuoi colleghi, nonostante tutto.' 'Nonostante cosa? Le mie origini, eh?' This suggests that the character feels or is made to feel that their background or origins (potentially ethnic or racial) are a factor in how they are perceived or treated, which implies the presence of prejudice or discrimination based on origin, which can include race or ethnicity."
Cuori,2,12,CuoriS02E12,0,"The episode contains a single, brief reference to race: 'Oddio, ma se era nera lo sa sta cosa. Anche lei sarà tutta affezionata a quella bambina.' This line acknowledges the child's Black identity, but does so in a context where her race is otherwise irrelevant to the plot. The mention is not explored, critiqued, or thematized further. There are no explicit acts of racism, nor is there any narrative framing that signals a clear position on racial issues. The rest of the episode focuses on medical, personal, and relational dramas without engaging with race or racism. Thus, the theme of racism is implicitly present, but not addressed or positioned, fitting the definition for a score of 0.","I did not assign -1 because the episode does not systematically minimize or omit racial issues that would plausibly be relevant in its context. The one mention of race is offhand and not reframed as accidental or isolated, nor is there evidence of the episode downplaying structural causes or consistently attributing disparities to individual factors. The episode simply does not engage with race beyond the single ambiguous remark.","I did not assign +1 because, aside from the single line referencing the child's race, there is no acknowledgment or exploration of racial dynamics, bias, or discrimination. The episode does not recognize or thematize race as shaping experiences or relationships, nor does it provide authentic perspectives from minoritized groups. The narrative remains neutral and non-committal regarding racial issues.",OK,"There is an implicit reference to race and possible racial prejudice in the line: 'Oddio, ma se era nera lo sa sta cosa. Anche lei sarà tutta affezionata a quella bambina.' This suggests the child in question is Black ('nera'), and the way it is mentioned in the context of concern or surprise could imply underlying assumptions or biases about race. While there are no explicit acts of racism or discrimination described, the mention of the child's race in a context where it is otherwise irrelevant suggests an implicit reference to racial difference, which could be tied to prejudice or stereotyping."
Doc Nelle tue mani,1,8,Doc Nelle tue maniS01E08,+2,"The episode critically engages with racial inequality and racism through multiple narrative threads. The storyline involving Nureddin, a Libyan migrant, and the explicit recounting of human trafficking, torture, and exploitation in Libya foregrounds the realities of racialized violence and systemic discrimination faced by migrants. The episode also references assumptions about ethnicity, skin color, and diseases more common in 'Africa mediterranea,' highlighting both implicit and explicit biases. The narrative does not merely acknowledge these issues but examines their causes and consequences, gives voice to affected characters (notably the Ethiopian doctor sharing his motivation rooted in witnessing preventable deaths), and holds perpetrators accountable (the trafficker faces the prospect of justice). The episode invites reflection on how race and migration shape access to safety, health, and justice, and incorporates institutional and historical contexts. However, the engagement, while critical and multi-perspective, remains within the framework of medical drama and personal stories, without fully centering a transformative or systemic critique.","A score of +1 would be insufficient because the episode goes beyond mere recognition or surface acknowledgment of racial dynamics. It explicitly addresses racism, discrimination, and their impacts, and provides narrative space for affected individuals to articulate their experiences and perspectives. The episode also problematizes the indifference or complicity of bystanders and explores the moral dilemmas faced by those who have suffered racialized violence.","A score of +3 would require a sustained, analytical, or transformative framing of race and racism, with the narrative actively promoting structural critique, exploring intersectionality in depth, or outlining pathways to equity and reconciliation. While the episode is critical and reflective, its engagement is primarily at the level of individual stories and institutional accountability within the hospital context. It does not fully develop a broader, systemic analysis or propose transformative solutions, nor does it consistently center marginalized voices as authoritative throughout the narrative.",OK,"There are several implicit and explicit references to racism, racial prejudice, and discrimination. For example, the patient Nureddin is noted as being originally from Libya, and there is discussion about diseases more common in people from 'Africa mediterranea.' There is also a significant storyline involving a character who was a victim of human trafficking and torture in Libya, which includes references to the mistreatment of migrants and their families. Additionally, there are subtle references to assumptions about ethnicity and background (e.g., 'Tu sei nato qui! Tu non sei niente.' and the discussion of abbronzatura/skin color as a clue to someone's origins). These elements together suggest the presence of racial prejudice, discrimination, and the consequences of systemic inequalities."
Doc Nelle tue mani,2,10,Doc Nelle tue maniS02E10,+1,"The episode references the death of an 'Ethiopian girl' (Nazinet) from Covid, repeatedly specifying her ethnicity and mentioning the Ethiopian community. The narrative explores the protagonist's guilt and psychological distress related to her death, and characters discuss going to the Ethiopian community for information. However, there are no explicit discussions of racism, prejudice, or systemic inequality. The girl's ethnicity is made visible and relevant, and her status as an outsider is implied, but the episode does not critically engage with racial dynamics or analyze broader social implications. The presence of race is acknowledged and shapes the narrative, but it is not deeply explored or problematized.","I did not assign a score of 0 because the episode does not merely leave racial dynamics implicit or ambiguous; it explicitly references the Ethiopian girl's identity, her community, and the impact of her death on the protagonist. There is clear acknowledgment that race and ethnicity are relevant to the story, even if not deeply analyzed.","I did not assign a score of +2 because the episode does not critically engage with racism as a social problem, nor does it analyze causes, consequences, or systemic issues related to racial inequality. There is no explicit critique of bias or discrimination, and the narrative does not center the perspectives or experiences of minoritized groups. The engagement with race remains at the level of acknowledgment rather than critical analysis.",OK,"There is an explicit reference to a 'ragazza etiope' (Ethiopian girl) who died of Covid, and discussion about the protagonist's guilt and panic attacks relating to her. The show also mentions going to the Ethiopian community to ask about her, and references to her family being happy about a marriage arrangement. While the subtitles do not contain direct discussions of racism or racial prejudice, the fact that the girl's ethnicity is repeatedly specified, her being an outsider in the context, and the need to approach the Ethiopian community for information, all suggest that issues of race and possibly racial prejudice are present or at least implied. Additionally, if there is any doubt, the instruction is to answer Yes."
Doc Nelle tue mani,3,3,Doc Nelle Tue ManiS03E03,+1,"The episode contains a notable scene where Lin, a character with an East Asian name, is subjected to microaggressions and stereotypical assumptions about her ethnicity ('Sei cinese o sei giapponese?', 'Sei stupido come sembri o fai finta?'). These remarks are presented as inappropriate and are immediately challenged by Lin herself ('Basta!'), with the narrative moving on without validating the discriminatory behavior. However, the episode does not deeply explore the implications of these racialized comments, nor does it offer a sustained critique or analysis of racism as a systemic issue. The rest of the episode focuses primarily on gender dynamics and professional struggles, with no further engagement with race or racism. Thus, the episode recognizes the presence of racial dynamics and bias, but does not critically engage with them.",I did not assign a 0 because the episode does not merely present racial dynamics without positioning; it includes a clear instance of racial bias that is recognized and briefly challenged within the narrative. The microaggression is not left entirely ambiguous or unaddressed.,"I did not assign a +2 because the episode does not explicitly address racism as a social problem, nor does it examine causes, consequences, or contradictions related to racial discrimination. There is no narrative accountability, sustained critique, or invitation to reflect on broader racial issues. The engagement remains at the level of individual interaction rather than structural analysis.",OK,"There is an implicit reference to racial prejudice in the exchange with Lin, a character with an East Asian name. She is asked, 'Sei cinese o sei giapponese?' ('Are you Chinese or Japanese?') and 'Sei stupido come sembri o fai finta?' ('Are you as stupid as you seem or are you pretending?'), which are microaggressions and stereotypical assumptions based on her ethnicity. This suggests the presence of racial prejudice, even if not the main focus of the episode."
Doc Nelle tue mani,3,9,Doc Nelle Tue ManiS03E09,0,"The episode contains a single, brief exchange that references a racial stereotype ('Ti vuoi trasferire qui tipo operaia di una fabbrica cinese?'), which is immediately acknowledged as a stereotype and reciprocated with another stereotype about wealth. The characters themselves call out the use of stereotypes ('Stereotipi uno pari'), signaling some self-awareness. However, this is the only moment in the episode where race or racism is even implicitly referenced. The rest of the episode does not engage with racial themes, either in terms of character arcs, narrative conflict, or broader social commentary. The episode neither endorses nor critically engages with racism; the reference is present but not explored, critiqued, or developed further. Thus, the dominant stance is one of implicit presence without clear positioning.",I did not assign -1 because the episode does not systematically minimize or omit significant racial issues that would plausibly be relevant in its context. The single stereotype reference is acknowledged and not reframed as harmless or isolated; it is simply left unexamined. There is no evidence of consistent downplaying or avoidance of racial dynamics.,"I did not assign +1 because, while there is a fleeting acknowledgment of a racial stereotype, the episode does not substantively recognize or explore racial dynamics, bias, or discrimination. There is no narrative or character-level engagement with the implications of the stereotype, nor is there any explicit recognition of race as a factor shaping experiences or relationships.",OK,"There is an implicit reference to racial stereotyping and microaggressions in the exchange: 'Ti vuoi trasferire qui tipo operaia di una fabbrica cinese ? - No, chiedo al papi gli ""sghei"" per comprare tutta la baracca. - Scusa. Stereotipi uno pari.' This dialogue references a stereotype about Chinese people working in factories, which is acknowledged as a stereotype by the characters themselves. This constitutes an implicit mention of racial prejudice."
