series,season,episode,episode_code,bool_response,explanation
Braccialetti Rossi,1,1,Braccialetti RossiS01E01,No,
Braccialetti Rossi,1,2,Braccialetti RossiS01E02,No,
Braccialetti Rossi,1,3,Braccialetti RossiS01E03,No,
Braccialetti Rossi,1,4,Braccialetti RossiS01E04,No,
Braccialetti Rossi,1,5,Braccialetti RossiS01E05,No,
Braccialetti Rossi,1,6,Braccialetti RossiS01E06,No,
Braccialetti Rossi,2,1,Braccialetti RossiS02E01,No,
Braccialetti Rossi,2,2,Braccialetti RossiS02E02,No,
Braccialetti Rossi,2,3,Braccialetti RossiS02E03,No,
Braccialetti Rossi,2,4,Braccialetti RossiS02E04,No,
Braccialetti Rossi,2,5,Braccialetti RossiS02E05,No,
Braccialetti Rossi,3,1,Braccialetti RossiS03E01,No,
Braccialetti Rossi,3,2,Braccialetti RossiS03E02,No,
Braccialetti Rossi,3,3,Braccialetti RossiS03E03,Yes,"The topic of pregnancy and potential pregnancy termination is implied and discussed. Chris is asked by a doctor if she is pregnant ('Non sarei mica incinta?'), and later Chris confides to Nina that she is indeed pregnant and expresses uncertainty about telling Leo, the father. There is also a discussion about whether she wants to keep the baby ('Ma tu lo vuoi questo bambino?'), which suggests consideration of options regarding the pregnancy. While abortion is not mentioned explicitly, the context of discussing whether to keep the baby and the associated fears and decisions strongly imply that pregnancy termination is a possible topic under consideration."
Braccialetti Rossi,3,4,Braccialetti RossiS03E04,Yes,"The topic of pregnancy and the possibility of not carrying a pregnancy to term is explicitly discussed. Chris is told 'è evidente che tu non puoi portare avanti la gravidanza, no?' (it's clear you can't carry on the pregnancy, right?), and there is a conversation about whether to keep the baby or not, concerns about being able to raise the child, and parental pressure. These are clear references to the consideration of abortion or pregnancy termination."
Braccialetti Rossi,3,5,Braccialetti RossiS03E05,Yes,"The topic of pregnancy and the possibility of not having the baby is discussed multiple times. Chris is pregnant ('Adesso ci siamo solo io e te e il nostro fagiolino'), and there are conversations about whether to have the child, with lines like 'Non lo voglio questo povero bimbo con l'8%, Chris. Perché dobbiamo mettere al mondo un orfano? Che senso ha?' and 'Io lo farò nascere, che te lo voglia o no, guardami.' These exchanges imply a discussion about pregnancy options, including the possibility of termination, even if the word 'aborto' is never used explicitly."
Braccialetti Rossi,3,6,Braccialetti RossiS03E06,Yes,"There are several references to pregnancy and a baby (e.g., 'aspetti un figlio?', 'è incinta', 'il bambino', 'il fagiolino', 'il cuore di un feto', etc.), and at one point a character says 'La prego, aspettiamo un bambino', and there is concern for the health of the pregnancy after a medical emergency. There is also a conversation about whether to keep the baby ('per il bambino hai cambiato idea?'), which suggests a prior discussion about options regarding the pregnancy. This implies that the topic of abortion or pregnancy termination may have been discussed or considered, even if not explicitly shown in the subtitles. Therefore, the answer is Yes."
Braccialetti Rossi,3,7,Braccialetti RossiS03E07,Yes,"There are several references to pregnancy and a character (Cris) being pregnant. There is a conversation where Cris discusses making a 'crazy' decision, and her friend asks if she is sure and if she has thought it through, and offers to help her. There is also mention of not telling her parents. While the word 'abortion' or 'termination' is not used explicitly, the context strongly suggests that Cris is considering her options regarding her pregnancy, which could include abortion. Given the instructions to answer Yes if there is any doubt, the answer is Yes."
Braccialetti Rossi,3,8,Braccialetti RossiS03E08,No,
Crimini bianchi,1,1,Crimini bianchiS01E01,No,
Crimini bianchi,1,2,Crimini bianchiS01E02,No,
Crimini bianchi,1,3,Crimini bianchiS01E03,Yes,There is an explicit reference to 'feti abortiti' (aborted fetuses) being used for organ transplants in the line: 'Nell'86 è accusato di aver trapiantato su pazienti talassemici fegati di feti abortiti.' This directly mentions abortion in the context of medical procedures.
Crimini bianchi,1,4,Crimini bianchiS01E04,Yes,"The topic of abortion is explicitly mentioned in the subtitles. There is a discussion about a woman (Ludovica Parenti) who had an abortion ('Perché non ci ha detto che sua moglie ha abortito?'), and it is revealed that she suffered medical complications due to a poorly performed procedure ('il raschiamento è stato eseguito male'). There are also references to the emotional consequences and the impact on her relationship with her husband. These are clear and explicit references to pregnancy termination."
Crimini bianchi,1,5,Crimini bianchiS01E05,No,
Crimini bianchi,1,6,Crimini bianchiS01E06,No,
Crimini bianchi,1,7,Crimini bianchiS01E07,No,
Crimini bianchi,1,8,Crimini bianchiS01E08,No,
Crimini bianchi,1,9,Crimini bianchiS01E09,No,
Crimini bianchi,1,10,Crimini bianchiS01E10,No,
Crimini bianchi,1,11,Crimini bianchiS01E11,No,
Crimini bianchi,1,12,Crimini bianchiS01E12,No,
Cuori,1,1,CuoriS01E01,No,
Cuori,1,2,CuoriS01E02,No,
Cuori,1,3,CuoriS01E03,No,
