series,season,episode,episode_code,bool_response,explanation
CM,1,1,CMS01E01,No,
CM,1,2,CMS01E02,Yes,"The episode centers around a 14-year-old girl, Erika, who gives birth alone, abandons her baby, and nearly dies from blood loss and complications related to childbirth. The dialogue repeatedly references her being a child, unready for pregnancy, and the trauma and consequences of her situation. There are implicit references to unwanted pregnancy, lack of support, and the desperate circumstances leading to unsafe birth and abandonment. While abortion or pregnancy termination is not explicitly discussed, the entire storyline strongly implies themes of unwanted pregnancy, lack of options, and the consequences thereof, which are closely related to the topic of abortion."
CM,1,3,CMS01E03,No,
CM,1,4,CMS01E04,No,
CM,1,5,CMS01E05,No,
CM,1,6,CMS01E06,No,
CM,1,7,CMS01E07,No,
CM,1,8,CMS01E08,No,
CM,1,9,CMS01E09,No,
CM,1,10,CMS01E10,No,
CM,1,11,CMS01E11,No,
CM,1,12,CMS01E12,Yes,"There is an explicit reference to abortion or pregnancy termination in the following exchange: A character says, 'my parents, they thought I should terminate. 'Cause, you know, ""A baby needs a father."" But no, no, I just--I couldn't. So here we are...' This directly mentions the option of pregnancy termination (abortion) and the character's decision not to go through with it."
CM,1,13,CMS01E13,No,
CM,1,14,CMS01E14,No,
CM,1,15,CMS01E15,Yes,"There is an explicit discussion of a surrogate mother who is desperate not to deliver a baby prematurely because she needs the money from carrying to term, and is pressured to consider early delivery due to a medical emergency. She says, 'I can't have this baby! It's not due for another two months.' The episode discusses her options, the risks to her life, and the legal/contractual implications if the baby is delivered early. While abortion or pregnancy termination is not directly mentioned, the storyline revolves around the decision of whether to end a pregnancy early (premature delivery) due to health risks, and the consequences thereof. The themes of unwanted pregnancy, discussing options, and seeking a procedure (early delivery) are present, so the topic is at least implied."
CM,1,16,CMS01E16,No,
CM,1,17,CMS01E17,No,
CM,1,18,CMS01E18,No,
CM,2,1,CMS02E01,No,
CM,2,2,CMS02E02,No,
CM,2,3,CMS02E03,No,
CM,2,4,CMS02E04,No,
CM,2,5,CMS02E05,No,
CM,2,6,CMS02E06,No,
CM,2,7,CMS02E07,No,
CM,2,8,CMS02E08,Yes,"The topic of pregnancy and its complications is explicitly discussed. April discovers she is pregnant, and there is an extended conversation about her needing to take a medication for multi-drug resistant TB that could cause neural tube defects in the fetus. April discusses the risks to the pregnancy, her fears about harming the baby, and her struggle over whether to take the medication or not. The dialogue includes considering the possibility of harm to the fetus and the risk of both mother and baby dying if the medication is not taken. These discussions strongly imply consideration of pregnancy termination as a possible outcome, or at least the risk thereof, and the weighing of options in a high-risk pregnancy scenario."
CM,2,9,CMS02E09,Yes,"The topic of abortion or pregnancy termination is explicitly discussed in the conversation between April and Tate. When April's fetal ultrasound shows a low measurement and possible risk to the baby's health, Tate says, 'Look. You're 12 weeks. If we're considering...' and April cuts him off, 'We're not.' Tate continues, 'April, it's not what I want either, but if your health is in question, the quality of life of our baby is threatened, I... We need to understand this gets riskier, more complicated after 14 weeks.' April responds, 'Tate, I am Catholic.' Tate says, 'April, it's my baby, too. Don't I at least get to discuss this?' April insists, 'We are not terminating this pregnancy.' This is a direct and explicit reference to abortion/pregnancy termination."
CM,2,10,CMS02E10,Yes,"There is an explicit reference to considering pregnancy termination in the following exchange: 'If it was up to you, there wouldn't even be a baby.' 'April, I told you I'm sorry. The only reason I wanted to consider terminating was I thought the baby would have no quality of life. I didn't want to put you... Us through that.' This directly mentions the option of terminating a pregnancy, which is an explicit reference to abortion or pregnancy termination."
CM,2,11,CMS02E11,Yes,"There is a conversation between April and Tate where Tate expresses concern about April working while pregnant, and specifically mentions 'the baby' and her having TB. April responds by saying 'Pregnant women can work' and 'I'm so sick of you bringing up this work thing.' While the conversation is about working while pregnant and not about abortion explicitly, the concern about the health and safety of the pregnancy, and the repeated arguments about whether she should continue working, could implicitly suggest consideration of pregnancy outcomes or options. Since the instructions say to answer Yes if there is any doubt and to include implicit references, the answer is Yes."
CM,2,12,CMS02E12,No,
CM,2,13,CMS02E13,No,
CM,2,14,CMS02E14,No,
CM,2,15,CMS02E15,Yes,The topic of abortion or pregnancy termination is explicitly mentioned in the subtitles. April is told she will need a D&C (dilation and curettage) after her ultrasound reveals there is no fetal heartbeat. The D&C is a procedure to remove the contents of the uterus after a miscarriage or for pregnancy termination. The conversation about scheduling the procedure and April's emotional response further confirm that pregnancy loss and termination are directly addressed.
CM,2,16,CMS02E16,Yes,"The topic of abortion or pregnancy termination is explicitly mentioned in the subtitles. There is a scene where a doctor discusses with the parents of a pregnant, vegetative patient (Teresa) that 'termination will be a painless procedure.' The parents respond that they do not want a termination and want to keep the baby, but the doctor explains the high risks of continuing the pregnancy. The conversation directly addresses the option of pregnancy termination, making the reference explicit."
